"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
BISE,BSc (Hons) Software Engineering,8.1,L2S1,BSE/24B/FT,12 Weeks,18,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),SDT2120C,UI/UX Design,2+1+7,6,40:60,RAMWODIN Loovesh (Mr),FT,Full F2F,,Monday,09:00 - 12:00,Lab G0.3
BISE,BSc (Hons) Software Engineering,8.1,L2S1,BSE/24B/FT,12 Weeks,18,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),DBT2122C,Advanced Database Design & Implementation,2+1+7,6,50:50:00,SEEGOBIN Hansraj (Mr),FT,Full F2F,N/A,Tuesday,13:00 - 16:00,Lab G1.3
BISE,BSc (Hons) Software Engineering,8,L2S1,BSE/24B/FT,12 Weeks,18,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),SDT1119C,Systems Analysis & Design,2+1+7,6,50:50:00,PANCHOO Shireen Assoc Prof (Dr),FT,Even,Odd,Monday,13:00 - 1600,BPML 0.08
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT1,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),OSS1112C,Operating System Concepts,2+1+7,6,40:60,CHAN YUK Harry (Mr),PT,Odd,Even,Saturday,08:00 - 11:00,Lab G1.2
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT1,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),MATH1215C,Computational Methods,2+1+7,6,30:70,DOOKHITRAM Kumar (Dr),FT,Odd,Even,Thursday,11:00 - 14:00,BPML 0.11
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT1,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),PROG1119C,Object Oriented Software Development,2+1+7,6,100% CWK,TULSI Ashwin (Mr),FT,Even,Odd,Monday,13:00 - 16:00,Lab G0.3
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT1,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),WAT1146C,Website Design & Development,2+1+7,6,40:60,TOOLOOA Nitish (Mr),PT,Odd,Even,Saturday,12:00 - 15:00,DML Lab
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT1,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),DBT1120C,Database Design Concepts,2+1+7,6,50:50:00,SEEGOBIN Hansraj (Mr),FT,Full F2F,N/A,Tuesday,09:00 - 12:00,Lab G0.2
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT2,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),OSS1112C,Operating System Concepts,2+1+7,6,40:60,CHAN YUK Harry (Mr),PT,Odd,Even,Saturday,11:30 - 14:30,BPML 0.08
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT2,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),MATH1215C,Computational Methods,2+1+7,6,30:70,DOOKHITRAM Kumar (Dr),FT,Odd,Even,Monday,11:00 - 14:00,BPML 0.08
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT2,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),PROG1119C,Object Oriented Software Development,2+1+7,6,100% CWK,NARSOO Jeetendre (Dr) ,FT,Odd,Even,Tuesday,09:00 - 12:00,Lab G1.2
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT2,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),WAT1146C,Website Design & Development,2+1+7,6,50:50:00,TOOLOOA Nitish (Mr),PT,Odd,Even,Saturday,08:00 - 11:00,DML Lab
BISE,BSc (Hons) Software Engineering,8.1,L1S2,BSE/25A/FT2,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SEEGOBIN Hansraj (Mr),DBT1120C,Database Design Concepts,2+1+7,6,50:50:00,SEEGOBIN Hansraj (Mr),FT,Full F2F,N/A,Thursday,13:00 - 16:00,"BPML1.09 Wk 1 - 7,
Lab G1.2 as from Wk 8"
